"ProductName","arNAme","CaseCredit","Price","Kind","Code","Auto","NewDistributer","AssistantSupervisor","Supervisor","AssistantManager","Manager","Shipping"
"ALOE VERA GEL","عصير الصبار الالوفيرا","0.113","103.0","Aloe Vera Drinks","15","false","87.55","66.95","63.86","58.71","53.56",
"ALOE BERRY NECTAR","عصير الصبار بنكه التوت البري نكتار","0.113","103.0","Aloe Vera Drinks","34","true","87.55","66.95","63.86","58.71","53.56",
"ALOE BITS PEACHES","عصير الصبار بنكهة الخوخ","0.113","103.0","Aloe Vera Drinks","77","true","87.55","66.95","63.86","58.71","53.56",
"FOREVER FREEDOM","فريدوم","0.162","147.0","Aloe Vera Drinks","196","true","124.95","95.55","91.14","83.79","76.44",
"ALOE BLOSSOM HERBAL TEA","شاي","0.079","72.0","Aloe Vera Drinks","200","true","61.2","46.8","44.64","41.04","37.44","30.0"
"POMESTEEN","بومستين","0.108","98.0","Aloe Vera Drinks","262","true","83.3","63.7","60.76","55.86","50.96",
"FOREVER ALOE2GO","الو تو جو","0.428","388.0","Aloe Vera Drinks","270","true","329.8","252.2","240.56","221.16","201.76",
"FREEDOM2GO","فريدوم تو جو","0.513","464.0","Aloe Vera Drinks","306","true","394.4","301.6","287.68","264.48","241.28","30.0"
"ARGI+","ارجي بلس","0.341","310.0","Aloe Vera Drinks","473","true","263.5","201.5","192.2","176.7","161.2","40.0"
"GIN-CHIA","جين شيا","0.081","75.0","Nutrition","47","true","63.75","48.75","46.5","42.75","39.0","30.0"
"NATURE-MIN","ناتشر مين","0.081","75.0","Nutrition","37","true","63.75","48.75","46.5","42.75","39.0","30.0"
"A-BETA CARE","بيتا كير","0.133","121.0","Nutrition","54","true","102.85","78.65","75.02","68.97","62.92","30.0"
"ABSORBANT C","ابسوربنت سي","0.079","72.0","Nutrition","48","true","61.2","46.8","44.64","41.04","37.44","30.0"
"FIELDS OF GREENS","جرين اوف فيلدز","0.054","50.0","Nutrition","68","true","42.5","32.5","31.0","28.5","26.0","20.0"
"GARLIC THYME","جارليك ثيم","0.081","75.0","Nutrition","65","true","63.75","48.75","46.5","42.75","39.0","30.0"
"Forever Ginkgo plus","كينجو بلس","0.141","128.0","Nutrition","73","true","108.8","83.2","79.36","72.96","66.56","30.0"
"FOREVER LYCIUM PLUS","ليسيوم بلس","0.148","135.0","Nutrition","72","true","114.75","87.75","83.7","76.95","70.2","30.0"
"FOREVER B12 PLUS","بي 12 بلس","0.069","65.0","Nutrition","188","true","55.25","42.25","40.3","37.05","33.8","30.0"
"FOREVER CALCIUM","كالسيوم","0.109","99.0","Nutrition","206","true","84.15","64.35","61.38","56.43","51.48","30.0"
"MULTI MACA","مالتي ماكا","0.118","108.0","Nutrition","215","true","91.8","70.2","66.96","61.56","56.16","30.0"
"FOREVER ACTIVE PROBIOTIC","فوريفر اكتف بروبتيك","0.131","119.0","Nutrition","222","true","101.15","77.35","73.78","67.83","61.88","30.0"
"FOREVER VISION","فيجن","0.119","108.0","Nutrition","235","true","91.8","70.2","66.96","61.56","56.16","30.0"
"FOREVER ACTIVE HA","اكتف ها","0.153","139.0","Nutrition","264","true","118.15","90.35","86.18","79.23","72.28","30.0"
"FOREVER NATURE'S 18","نيتشرز","0.204","185.0","Nutrition","271","true","157.25","120.25","114.7","105.45","96.2","30.0"
"FOREVER CARDIO HEALTH","كارديو هيلث","0.15","136.0","Nutrition","312","true","115.6","88.4","84.32","77.52","70.72","30.0"
"FOREVER KIDS","فوريفر كيدز","0.068","62.0","Nutrition","354","true","52.7","40.3","38.44","35.34","32.24","30.0"
"FOREVER IMMUBLEND","اميوبلند","0.105","96.0","Nutrition","355","true","81.6","62.4","59.52","54.72","49.92","30.0"
"FOREVER VITOLIZE-MEN","فيتوليز رجالي","0.136","123.0","Nutrition","374L","true","104.55","79.95","76.26","70.11","63.96","30.0"
"FOREVER VITOLIZE-WOMEN","فيتوليز نسائي","0.143","130.0","Nutrition","375L","true","110.5","84.5","80.6","74.1","67.6","30.0"
"FOREVER DIALY","ديلي","0.09","83.0","Nutrition","439","true","70.55","53.95","51.46","47.31","43.16","30.0"
"ARCTIC SEA","اركتك سي","0.143","130.0","Nutrition","376L","true","110.5","84.5","80.6","74.1","67.6","30.0"
"FOREVER FIBER","فايبر","0.13","118.0","Nutrition","464","true","100.3","76.7","73.16","67.26","61.36",
"GARCINA PLUS","جارسينيا بلس","0.148","135.0","Weight Loss","71","true","114.75","87.75","83.7","76.95","70.2","30.0"
"Forever lean","لين","0.208","171.0","Weight Loss","289","true","145.35","111.15","106.02","97.47","88.92","40.0"
"Forever therm","ثيرم","0.129","117.0","Weight Loss","463","true","99.45","76.05","72.54","66.69","60.84","20.0"
"Milk shake Forever lite ultra","ميلك شيك","0.138","125.0","Weight Loss","470","true","106.25","81.25","77.5","71.25","65.0","0.0"
"Clean9 21 days","كلين 9","0.771","698.0","Weight Loss","475","true","593.3","453.7","432.76","397.86","362.96","78.0"
"Fit1","فت 1","1.364","1235.0","Weight Loss","479","true","1049.75","802.75","765.7","703.95","642.2","78.0"
"Fit2 - vanila2 - cinnamon prox","فت 2","1.364","1235.0","Weight Loss","491","true","1049.75","802.75","765.7","703.95","642.2","78.0"
"CARRIER OIL","كارير اويل","0.104","95.0","Essential Oils","505","true","80.75","61.75","58.9","54.15","49.4",
"LAVENDER SINGLE NOTE","لافندر سنجل نوت","0.167","152.0","Essential Oils","506","true","129.2","98.8","94.24","86.64","79.04",
"LEMON SINGLE NOTE","ليمون سنجل نوت","0.088","80.0","Essential Oils","507","true","68.0","52.0","49.6","45.6","41.6",
"PEPPERMINT SINGLE NOTE","بيبرمنت سينجل نوت","0.123","112.0","Essential Oils","508","true","95.2","72.8","69.44","63.84","58.24",
"AT EASE","ات ايز","0.147","135.0","Essential Oils","509","true","114.75","87.75","83.7","76.95","70.2",
"DEFENSE","ديفنس","0.172","156.0","Essential Oils","510","true","132.6","101.4","96.72","88.92","81.12",
"SOOTHE","سوث","0.245","223.0","Essential Oils","511","true","189.55","144.95","138.26","127.11","115.96",
"TRI - PACK","تراي باك","0.184","167.0","Perfumes","512","true","141.95","108.55","103.54","95.19","86.84",
"BUNDLE","بندل","0.941","851.0","Essential Oils","513","true","723.35","553.15","527.62","485.07","442.52",
"R3 FACTOR","ار ثري فاكتور","0.148","134.0","Skin Care Facial","69","true","113.9","87.1","83.08","76.38","69.68",
"ALOE EYE MAKEUP REMOVER","الو اي ميكب رموفر","0.05","45.0","Skin Care Facial","186","true","38.25","29.25","27.9","25.65","23.4",
"ALPHA-E FACTOR","الفا فاكتور","0.148","134.0","Skin Care Facial","187","true","113.9","87.1","83.08","76.38","69.68",
"FOREVER ALLURING EYES","الورنج ايز","0.109","99.0","Skin Care Facial","233","true","84.15","64.35","61.38","56.43","51.48",
"ALOE PURIFYING CLEANSER","بيورفاينج كلينرز","0.159","131.0","Skin Care Facial","277","true","111.35","85.15","81.22","74.67","68.12",
"ALOE REFRESHING TONER","الو ريفرشينج تونر","0.159","130.0","Skin Care Facial","279","true","110.5","84.5","80.6","74.1","67.6",
"ALOE BALANCING CREME","الو بلانسنج كريم","0.152","125.0","Skin Care Facial","280","true","106.25","81.25","77.5","71.25","65.0",
"ALOE NOURISHING SERUM","نورشينج سيروم","0.198","163.0","Skin Care Facial","281","true","138.55","105.95","101.06","92.91","84.76",
"SONYA SKIN CARE KIT","سونيا العناية بالبشرة","0.745","612.0","Skin Care Facial","282","true","520.2","397.8","379.44","348.84","318.24",
"SONYA DEEP MOISTURIZING CREME","سونيا ديب كريم","0.15","136.0","Skin Care Facial","311","true","115.6","88.4","84.32","77.52","70.72",
"ALOE FIEUR DE JOUVENCE","زهرة الشباب","0.493","448.0","Skin Care Facial","337","true","380.8","291.2","277.76","255.36","232.96",
"REHYDRATING TONER","ريهايدرتنج تونر","0.067","61.0","Skin Care Facial","338","true","51.85","39.65","37.82","34.77","31.72",
"ALOE CLEANSER","الو كلينزير","0.067","61.0","Skin Care Facial","339","true","51.85","39.65","37.82","34.77","31.72",
"ALOE FLEUR DE JOUVENCE MASK POWDER","ماسك زهرة الشباب","0.095","86.0","Skin Care Facial","341","true","73.1","55.9","53.32","49.02","44.72",
"RECOVERING NIGHT CREME","ريكوفرينج نايت كريم","0.146","133.0","Skin Care Facial","342","true","113.05","86.45","82.46","75.81","69.16",
"ALOE FLEUR DE JOUVENCE ACTIVATOR","زهرة الشباب اكتيفيتور","0.067","61.0","Skin Care Facial","343","true","51.85","39.65","37.82","34.77","31.72",
"ALOE FIRST SPRAY","الو فيرست","0.089","81.0","Skin Care Body","40","true","68.85","52.65","50.22","46.17","42.12",
"ALOE PROPOLIS CRAME","بروبليس كريم","0.089","81.0","Skin Care Body","51","true","68.85","52.65","50.22","46.17","42.12",
"ALOE BODY TONING KIT","الو بودي تونينج كيت","0.394","358.0","Skin Care Body","55","true","304.3","232.7","221.96","204.06","186.16",
"ALOE BODY TONER","الو بودي تونر","0.132","120.0","Skin Care Body","56","true","102.0","78.0","74.4","68.4","62.4",
"ALOE BODY CONDITIONING CRAME","الو بودي كوديشننج كريم","0.163","148.0","Skin Care Body","57","true","125.8","96.2","91.76","84.36","76.96",
"ALOE VERA GELLY","الوفيرا جيلي","0.067","61.0","Skin Care Body","61","false","51.85","39.65","37.82","34.77","31.72",
"ALOE LOTION","الو لوشن","0.067","61.0","Skin Care Body","62","true","51.85","39.65","37.82","34.77","31.72",
"ALOE MOISTURIZING LOTION","الو موستريزنج لوشن","0.067","61.0","Skin Care Body","63","true","51.85","39.65","37.82","34.77","31.72",
"ALOE HEAT LOTION","الو هيت لوشن","0.067","61.0","Skin Care Body","64","true","51.85","39.65","37.82","34.77","31.72",
"FOREVER ALOE SUNSCREEN","الو سنسكرين","0.067","61.0","Skin Care Body","199","true","51.85","39.65","37.82","34.77","31.72",
"ALOE MSM GEL","ام اس ام جيل","0.109","99.0","Skin Care Body","205","true","84.15","64.35","61.38","56.43","51.48",
"ALOE SUNSCREEN SPRAY","سن سكرين سبراب","0.095","86.0","Skin Care Body","319","true","73.1","55.9","53.32","49.02","44.72",
"FIRMING DAY LOTION","فيرمينج لوشن","0.104","96.0","Skin Care Body","340","true","81.6","62.4","59.52","54.72","49.92",
"FOREVER BEE POLLEN","بي بولين","0.068","62.0","Bee Products","26","true","52.7","40.3","38.44","35.34","32.24","20.0"
"FOREVER BEE PROPOLIS","بي بروبليس","0.143","130.0","Bee Products","27","true","110.5","84.5","80.6","74.1","67.6","20.0"
"FOREVER ROYAL JELLY","رويال جيلي","0.148","135.0","Bee Products","36","true","114.75","87.75","83.7","76.95","70.2","20.0"
"FOREVER BEE HONEY","عسل","0.075","69.0","Bee Products","207","true","58.65","44.85","42.78","39.33","35.88","20.0"
"ALOE BATH GELEE","الو باث","0.082","75.0","Personal Care","14","true","63.75","48.75","46.5","42.75","39.0",
"ALOE LIPS","الو ليبس","0.016","15.0","Personal Care","22","true","12.75","9.75","9.3","8.55","7.8",
"ALOE BRIGHT TOOTHGEL","معجون الاسنان","0.035","32.0","Personal Care","28","true","27.2","20.8","19.84","18.24","16.64",
"ALOE VETERINARY FORMULA","الو فيترنتي فورميولا","0.088","81.0","Personal Care","30","true","68.85","52.65","50.22","46.17","42.12",
"ALOE HAND AND FACE SOAP","صابون","0.059","54.0","Personal Care","38","true","45.9","35.1","33.48","30.78","28.08",
"ALOE EVERSHIELD DEODORANT","ديودورانت","0.032","30.0","Personal Care","67","true","25.5","19.5","18.6","17.1","15.6",
"FOREVER ALOE STYLING GEL","الو ستايلنج جيل","0.051","46.0","Personal Care","194","true","39.1","29.9","28.52","26.22","23.92",
"FOREVER MARINE MASK","مارين ماسك","0.101","92.0","Personal Care","234","true","78.2","59.8","57.04","52.44","47.84",
"FOREVER EPIBLANC","ابيبلالنك","0.09","82.0","Personal Care","236","false","69.7","53.3","50.84","46.74","42.64",
"FOREVER ALOE SCRUB","سكراب","0.07","64.0","Personal Care","238","true","54.4","41.6","39.68","36.48","33.28",
"ALOE JOJOBA SHAMPOO","الو جوبا شامبو","0.079","72.0","Personal Care","260","true","61.2","46.8","44.64","41.04","37.44",
"ALOE JOJOBA CONDITIONING RINSE","الو جوبا كونديشنينج راينز","0.079","72.0","Personal Care","261","true","61.2","46.8","44.64","41.04","37.44",
"AVOCADO FACE & BODY SOAP","صابونة افوكادو وجه و جسم","0.034","28.0","Personal Care","284","true","23.8","18.2","17.36","15.96","14.56",
"HAND SANITIZER","هاند سانيتيزر","0.02","18.0","Personal Care","318","true","15.3","11.7","11.16","10.26","9.36",
"SONYA HYDRATE SHAMPOO","سونيا هايدرت شامبو","0.109","99.0","Personal Care","349","true","84.15","64.35","61.38","56.43","51.48",
"SONYA HYDRATE CONDITIONER","سونيا هايدريت كونديشنر","0.109","99.0","Personal Care","350","true","84.15","64.35","61.38","56.43","51.48",
"SONYA VOLUME SHAMPOO","سونيا فوليوم شامبو","0.109","99.0","Personal Care","351","true","84.15","64.35","61.38","56.43","51.48",
"SONYA VOLUME CONDTIONER","سونيا فوليوم كوندشنر","0.109","99.0","Personal Care","352","true","84.15","64.35","61.38","56.43","51.48",
"ALOE SUN LIPS","الو سن ليبس","0.023","21.0","Personal Care","462","true","17.85","13.65","13.02","11.97","10.92",
"TOUCH OF FOREVER","توتش اوف فوريفر","2.0","1810.0","Combo Packs","1","true","1538.5","1176.5","1122.2","1031.7","941.2",
"NUTRITION MINI COMBO","نيوتريشن ميني كومبو","1.0","905.0","Combo Packs","75","true","769.25","588.25","561.1","515.85","470.6",
"SKIN CARE MINI COMBO","مجموعة العناية بالبشرة المصغرة","1.0","905.0","Combo Packs","76","true","769.25","588.25","561.1","515.85","470.6",
"VITAL5 / ALOE VERA GEL","فيتال 5","1.148","1040.0","Combo Packs","456","true","884.0","676.0","644.8","592.8","540.8","130.0"
